No,Penyakit,Gejala
1,Penyakit,Gejala
2,Diare,Perut mulas. Pusing. Badan Lemas. Tinja encer. berwarna kehijau-hijauan. disertai lendir atau darah. Dehidrasi. Haus terus - menerus. Lecet pada anus dan sekitarnya. suhu tubuh meningkat. merasa tidak tuntas setelah BAB
3,Diare,Pusing. Lemas. Tinja encer. Dehidrasi
4,Diare,Perut mulas. Lemas. Merasa tidak tuntas setelah BAB.
5,Diare,Haus terus menerus. Lemas. Tinja encer. Tinja berwarna kehijau-hijauan. Disertai lendir dan darah.
6,Diare,Badan lemas. Suhu meningkat. Perut mulas. Tinja encer disertai lendir atau darah. Lecet pada anus dan sekitarnya
7,Gastritis (Maag),Nyeri ulu hati disertai sensasi terbakar di dada. Mual. Muntah. Kembung pada perut bagian atas. Ada rasa panas dalam akibat naiknya asam lambung. Nafsu makan menurun. Sering sendawa. Mudah kenyang
8,Gastritis (Maag),Mual. Muntah. Ada rasa panas dalam akibat naiknya asam lambung. Mudah kenyang
9,Gastritis (Maag),Nafsu makan menurun. Nyeri ulu hati disertai sensasi terbakar di dada. Seringsendawa. Muntah
10,Gastritis (Maag),mudah kenyang. Perut kembung dan terasa penuh. Mual. Asam lambung naik ke kerongkongan. Muntah
11,Gastritis (Maag),Perut kembung. Muntah terus menerus. Muntah darah. Tinja berwarna gelap atau mengandung darah. Sulit bernafas
12,Konstipasi (Sembelit),sakit perut. BAB kurang dari 3x seminggu. Harus mengejan saat BAB. nyeri saat BAB. tinja kering dan menggumpal. Terasa ada yang mengganjal di bagian akhir usus besar/rektum. Perut kembung. merasa tidak tuntas setelah BAB
13,Konstipasi (Sembelit),"sakit perut. Harus mengejan saat bab. Tinja terlihat kering, keras, atau nergumpal."
14,Konstipasi (Sembelit),perut kembung. Nyeri saat BAB. BAB kurang dari 3x seminggu. Tinja terlihat kering
15,Konstipasi (Sembelit),sakit perut. BAB kurang dari 3x seminggu. Harus mengejan saat BAB. Nyeri saat BAB
16,Konstipasi (Sembelit),"Sakit perut. Tinja terlihat kering, keras, bergumbal. BAB kurang dari 3x seminggu. Terasa ada yang mengganjal di bagian akhir usus besar/rektum. Perlu bntuan tangan untuk mengeluarkan tinja"
17,Apendicitis (Radang Usus Buntu),"Hilang nafsu makan. Nyeri perut di bagian pusar, semakin sakit ketika berpindah ke kanan. Perut kembung. Sakit di bagian perut.  Sulit Buang angin. Mual. Muntah. Konstipasi. Demam. Kram perut"
18,Apendicitis (Radang Usus Buntu),Perut kembung.  Sulit Buang angin. Mual. Hilang nafsu makan. Demam. Sakit perut di daerah pusar
19,Apendicitis (Radang Usus Buntu),Nyeri perut di daerah pusar. Mual. Muntah. Perut keram. Nyeri pada punggung
